% CONTOUR MAP
% Augustine volcano (AK)
% X[UTM] Y[UTM]	
467204	6581590
467132	6581677
467204	6581878
467291	6582181
467393	6582454
467494	6582757
467682	6583030
467812	6583246
468014	6583332
468129	6583591
468173	6583749
468404	6583893
468735	6583964
468981	6583949
469182	6583891
469298	6583832
469572	6583860
469701	6583788
469730	6583629
469687	6583615
469845	6583456
470162	6583340
470234	6583166
470262	6582993
470450	6582877
470450	6583022
470306	6583267
470479	6583483
470508	6583584
470754	6583612
470855	6583684
470855	6583857
470970	6583957
471158	6583899
471316	6583826
471648	6583825
471907	6583911
472109	6584011
472499	6584140
472730	6584197
472989	6584311
473162	6584426
473336	6584671
473408	6584973
473567	6585261
473942	6585418
474216	6585461
474346	6585432
474346	6585576
474534	6585662
474793	6585704
474938	6585891
475068	6585948
475270	6586005
475371	6586178
475573	6586466
475674	6586350
475673	6586192
475702	6586105
475702	6585889
475788	6585788
475918	6585787
475904	6585946
475962	6586119
476063	6586262
476135	6586334
476193	6586219
476323	6586377
476322	6586218
476279	6586118
476452	6586088
476639	6586044
476798	6586073
477000	6586173
477144	6586057
477374	6585941
477548	6585941
477663	6585825
477821	6585882
477980	6585622
478008	6585420
478066	6585334
477950	6585060
478180	6584713
478353	6584453
478511	6584164
478468	6583891
478727	6583573
478914	6583298
479130	6583052
479375	6582821
479562	6582705
479706	6582474
479907	6582401
479994	6582300
480253	6582328
480210	6582126
480195	6581867
480195	6581607
480339	6581463
480310	6581290
480309	6581016
480395	6580684
480453	6580540
480453	6580410
480424	6580252
480553	6580035
480538	6579848
480466	6579689
480250	6579560
480249	6579358
480192	6579258
480018	6579042
479701	6578726
479643	6578524
479484	6578409
479383	6578121
479325	6577919
479325	6577689
479209	6577747
479007	6577690
478949	6577488
478820	6577503
478575	6577475
478430	6577403
478286	6577346
478228	6577260
478084	6577231
477954	6577261
477781	6577189
477622	6577045
477492	6576916
477305	6576801
477132	6576672
477002	6576571
476886	6576428
476756	6576284
476626	6576198
476511	6576126
476395	6575968
476266	6576098
476179	6576242
476209	6576372
476180	6576545
476065	6576618
475935	6576632
475776	6576633
475646	6576604
475545	6576518
475502	6576490
475358	6576490
475300	6576519
475200	6576606
475070	6576621
474781	6576622
474493	6576536
474205	6576566
474003	6576537
473844	6576394
473772	6576336
473628	6576351
473469	6576323
473411	6576237
473339	6576179
473180	6576151
473051	6576180
472906	6576180
472748	6576181
472604	6576153
472459	6576110
472315	6576110
472186	6576111
472027	6576039
471883	6575982
471753	6575968
471609	6575911
471450	6575897
471306	6575854
471161	6575840
471003	6575811
470873	6575812
470729	6575841
470599	6575870
470441	6575914
470354	6575972
470311	6576015
470167	6576102
470008	6576204
469922	6576262
469879	6576291
469735	6576363
469677	6576407
469576	6576465
469432	6576537
469346	6576682
469029	6576899
468943	6577014
468741	6577260
468597	6577549
468655	6577837
468699	6577952
468800	6578096
468973	6578341
469031	6578672
469075	6578946
469119	6579277
469119	6579537
469148	6579825
469177	6580012
469249	6579882
469249	6579551
469551	6579449
469696	6579665
469653	6579824
469595	6580026
469437	6579911
469350	6580084
469192	6580142
469005	6580417
468760	6580691
468631	6581038
468631	6581211
468689	6581311
469006	6581383
469223	6581555
469324	6581713
469280	6581771
469006	6581743
468761	6581600
468718	6581470
468458	6581355
468328	6581442
468155	6581385
468026	6581328
467867	6581372
467694	6581473
467449	6581445
467362	6581359
467276	6581489
467204	6581590
